season,episode,baker,technical,result,baker_age,baker_occupation,hometown,signature_bake,show_stopper
9,5,Luke,NA,NA,30,Civil servant/house and techno DJ,Sheffield,NA,NA
9,6,Jon,2,IN,47,Blood courier,Newport,NA,NA
9,6,Kim-Joy,5,IN,27,Mental health specialist,Leeds,NA,NA
9,6,Manon,4,IN,26,Software project manager,London,NA,NA
9,6,Rahul,3,IN,30,Research scientist,Rotherham,NA,NA
9,6,Ruby,7,IN,29,Project manager,London,NA,NA
9,6,Dan,6,OUT,36,Full-time parent,London,NA,NA
9,6,Briony,1,STAR BAKER,33,Full-time parent,Bristol,NA,NA
9,6,Antony,NA,NA,30,Banker,London,NA,NA
9,6,Imelda,NA,NA,33,Countryside recreation officer,County Tyrone,NA,NA
9,6,Karen,NA,NA,60,In-store sampling assistant,Wakefield,NA,NA
9,6,Luke,NA,NA,30,Civil servant/house and techno DJ,Sheffield,NA,NA
9,6,Terry,NA,NA,56,Retired air steward,West Midlands,NA,NA
9,7,Briony,5,IN,33,Full-time parent,Bristol,NA,NA
9,7,Manon,2,IN,26,Software project manager,London,NA,NA
9,7,Rahul,1,IN,30,Research scientist,Rotherham,NA,NA
9,7,Ruby,3,IN,29,Project manager,London,NA,NA
9,7,Jon,4,OUT,47,Blood courier,Newport,NA,NA
9,7,Kim-Joy,6,STAR BAKER,27,Mental health specialist,Leeds,NA,NA
9,7,Antony,NA,NA,30,Banker,London,NA,NA
9,7,Dan,NA,NA,36,Full-time parent,London,NA,NA
9,7,Imelda,NA,NA,33,Countryside recreation officer,County Tyrone,NA,NA
9,7,Karen,NA,NA,60,In-store sampling assistant,Wakefield,NA,NA
9,7,Luke,NA,NA,30,Civil servant/house and techno DJ,Sheffield,NA,NA
9,7,Terry,NA,NA,56,Retired air steward,West Midlands,NA,NA
9,8,Briony,1,IN,33,Full-time parent,Bristol,NA,NA
9,8,Kim-Joy,2,IN,27,Mental health specialist,Leeds,NA,NA
9,8,Rahul,5,IN,30,Research scientist,Rotherham,NA,NA
9,8,Manon,4,OUT,26,Software project manager,London,NA,NA
9,8,Ruby,3,STAR BAKER,29,Project manager,London,NA,NA
9,8,Antony,NA,NA,30,Banker,London,NA,NA
9,8,Dan,NA,NA,36,Full-time parent,London,NA,NA
9,8,Imelda,NA,NA,33,Countryside recreation officer,County Tyrone,NA,NA
9,8,Jon,NA,NA,47,Blood courier,Newport,NA,NA
9,8,Karen,NA,NA,60,In-store sampling assistant,Wakefield,NA,NA
9,8,Luke,NA,NA,30,Civil servant/house and techno DJ,Sheffield,NA,NA
9,8,Terry,NA,NA,56,Retired air steward,West Midlands,NA,NA
9,9,Kim-Joy,2,IN,27,Mental health specialist,Leeds,NA,NA
9,9,Rahul,4,IN,30,Research scientist,Rotherham,NA,NA
9,9,Briony,3,OUT,33,Full-time parent,Bristol,NA,NA
9,9,Ruby,1,STAR BAKER,29,Project manager,London,NA,NA
9,9,Antony,NA,NA,30,Banker,London,NA,NA
9,9,Dan,NA,NA,36,Full-time parent,London,NA,NA
9,9,Imelda,NA,NA,33,Countryside recreation officer,County Tyrone,NA,NA
9,9,Jon,NA,NA,47,Blood courier,Newport,NA,NA
9,9,Karen,NA,NA,60,In-store sampling assistant,Wakefield,NA,NA
9,9,Luke,NA,NA,30,Civil servant/house and techno DJ,Sheffield,NA,NA
9,9,Manon,NA,NA,26,Software project manager,London,NA,NA
9,9,Terry,NA,NA,56,Retired air steward,West Midlands,NA,NA
9,10,Kim-Joy,1,Runner-up,27,Mental health specialist,Leeds,NA,NA
9,10,Ruby,3,Runner-up,29,Project manager,London,NA,NA
9,10,Rahul,2,WINNER,30,Research scientist,Rotherham,NA,NA
9,10,Antony,NA,NA,30,Banker,London,NA,NA
9,10,Briony,NA,NA,33,Full-time parent,Bristol,NA,NA
9,10,Dan,NA,NA,36,Full-time parent,London,NA,NA
9,10,Imelda,NA,NA,33,Countryside recreation officer,County Tyrone,NA,NA
9,10,Jon,NA,NA,47,Blood courier,Newport,NA,NA
9,10,Karen,NA,NA,60,In-store sampling assistant,Wakefield,NA,NA
9,10,Luke,NA,NA,30,Civil servant/house and techno DJ,Sheffield,NA,NA
9,10,Manon,NA,NA,26,Software project manager,London,NA,NA
9,10,Terry,NA,NA,56,Retired air steward,West Midlands,NA,NA
10,1,Alice,5,IN,28,Geography teacher,Essex,NA,NA
10,1,Amelia,4,IN,24,Fashion designer,Halifax,NA,NA
10,1,David,10,IN,36,International health adviser,Whitby,NA,NA
10,1,Helena,12,IN,40,Online project manager,Leeds,NA,NA
10,1,Henry,1,IN,20,Student,Durham,NA,NA
10,1,Jamie,13,IN,20,Part-time waiter,Surrey,NA,NA
10,1,Michael,11,IN,26,Theatre manager/fitness instructor,Stratford-upon-Avon,NA,NA
10,1,Phil,8,IN,56,HGV driver,Rainham,NA,NA
10,1,Priya,7,IN,34,Marketing consultant,Leicester,NA,NA
10,1,Rosie,2,IN,28,Veterinary surgeon,Somerset,NA,NA
10,1,Steph,3,IN,28,Shop assistant,Chester,NA,NA
10,1,Dan,9,OUT,32,Support worker,Rotherham,NA,NA
10,1,Michelle,6,STAR BAKER,35,Print shop administrator,"Tenby, Wales",NA,NA
10,2,Amelia,9,IN,24,Fashion designer,Halifax,NA,NA
10,2,David,2,IN,36,International health adviser,Whitby,NA,NA
10,2,Helena,12,IN,40,Online project manager,Leeds,NA,NA
10,2,Henry,6,IN,20,Student,Durham,NA,NA
10,2,Michael,4,IN,26,Theatre manager/fitness instructor,Stratford-upon-Avon,NA,NA
10,2,Michelle,8,IN,35,Print shop administrator,"Tenby, Wales",NA,NA
10,2,Phil,3,IN,56,HGV driver,Rainham,NA,NA
10,2,Priya,7,IN,34,Marketing consultant,Leicester,NA,NA
10,2,Rosie,5,IN,28,Veterinary surgeon,Somerset,NA,NA
10,2,Steph,10,IN,28,Shop assistant,Chester,NA,NA
10,2,Jamie,11,OUT,20,Part-time waiter,Surrey,NA,NA
10,2,Alice,1,STAR BAKER,28,Geography teacher,Essex,NA,NA
10,2,Dan,NA,NA,32,Support worker,Rotherham,NA,NA
10,3,Alice,7,IN,28,Geography teacher,Essex,NA,NA
10,3,David,2,IN,36,International health adviser,Whitby,NA,NA
10,3,Helena,8,IN,40,Online project manager,Leeds,NA,NA
10,3,Henry,1,IN,20,Student,Durham,NA,NA
10,3,Michelle,5,IN,35,Print shop administrator,"Tenby, Wales",NA,NA
10,3,Phil,10,IN,56,HGV driver,Rainham,NA,NA
10,3,Priya,4,IN,34,Marketing consultant,Leicester,NA,NA
10,3,Rosie,9,IN,28,Veterinary surgeon,Somerset,NA,NA
10,3,Steph,3,IN,28,Shop assistant,Chester,NA,NA
10,3,Amelia,11,OUT,24,Fashion designer,Halifax,NA,NA
10,3,Michael,6,STAR BAKER,26,Theatre manager/fitness instructor,Stratford-upon-Avon,NA,NA
10,3,Dan,NA,NA,32,Support worker,Rotherham,NA,NA
10,3,Jamie,NA,NA,20,Part-time waiter,Surrey,NA,NA
10,4,Alice,8,IN,28,Geography teacher,Essex,NA,NA
10,4,David,2,IN,36,International health adviser,Whitby,NA,NA
10,4,Helena,9,IN,40,Online project manager,Leeds,NA,NA
10,4,Henry,3,IN,20,Student,Durham,NA,NA
10,4,Michael,7,IN,26,Theatre manager/fitness instructor,Stratford-upon-Avon,NA,NA
10,4,Michelle,5,IN,35,Print shop administrator,"Tenby, Wales",NA,NA
10,4,Priya,10,IN,34,Marketing consultant,Leicester,NA,NA
10,4,Rosie,4,IN,28,Veterinary surgeon,Somerset,NA,NA
10,4,Phil,6,OUT,56,HGV driver,Rainham,NA,NA
10,4,Steph,1,STAR BAKER,28,Shop assistant,Chester,NA,NA
10,4,Amelia,NA,NA,24,Fashion designer,Halifax,NA,NA
10,4,Dan,NA,NA,32,Support worker,Rotherham,NA,NA
10,4,Jamie,NA,NA,20,Part-time waiter,Surrey,NA,NA
10,5,Alice,6,IN,28,Geography teacher,Essex,NA,NA
